,0,1,2
0,-1001003243820,bigpumpsignal,['en']
1,-1001094499146,Big_Pumps_Signals_Global,['en']
2,-1001129771868,BinanceTrading360,"['da', 'en', 'nl', 'no']"
3,-1001130260284,yocrypto,"['es', 'en', 'da', 'fr', 'ca', 'sq', 'ro']"
4,-1001133895703,moonlightsignal,"['de', 'en', 'it', 'vi', 'af', 'fr', 'no', 'id', 'ro', 'sq', 'nl']"
5,-1001144292688,cprofits,"['en', 'ru']"
6,-1001148414624,TCGFORYOU,"['de', 'en', 'tl', 'so', 'da']"
7,-1001155306123,FieryTradingPumpAlerts,['en']
8,-1001155361313,Binance_Pumps_Cryptocurrency,['en']
9,-1001164308989,KingCryptoCalls,"['de', 'en', 'da', 'no', 'ca', 'sq', 'nl']"
10,-1001169668415,crypto_pump_billionaires,['en']
11,-1001169894397,CryptoLeaks3,['en']
12,-1001171513916,Pumpingstar,['en']
13,-1001176223233,zolansignal,"['en', 'so']"
14,-1001176762366,bigpumpindo,['en']
15,-1001180980962,megasignalsgroup,['en']
16,-1001190942267,PrivateGroupforpump,"['en', 'ru']"
17,-1001195248520,BinanceSuperPumpSignals,"['en', 'pl', 'it', 'nl']"
18,-1001198780255,Crypto_Bitcoin_Pump,['en']
19,-1001201044084,CryptoCaptain1,"['de', 'en', 'no', 'vi']"
20,-1001219293084,Big_Pumps_Signals,['en']
21,-1001222890895,pumpcoinvip,"['da', 'en', 'no', 'vi']"
22,-1001237041098,crypto_pump_island,"['pl', 'en', 'it', 'es', 'fr', 'ca', 'nl']"
23,-1001246270015,cryptoflashsignals,['en']
24,-1001258049399,FatCatCrypto,"['de', 'en', 'id']"
25,-1001267170242,CoinCoachSignals,"['de', 'en', 'tl', 'vi', 'sv', 'et', 'da', 'fr', 'no', 'ca', 'sw', 'sq', 'nl']"
26,-1001275133736,mexc_pump_signals,"['da', 'en', 'id', 'tr']"
27,-1001277733384,Binance_FuturesSignal,['en']
28,-1001288385100,Whalesguide,"['en', 'tl', 'sv', 'af']"
29,-1001291335731,next10xgem1,"['de', 'en', 'da', 'fr', 'ca']"
30,-1001292856985,CryptoGuruSignals1,['en']
31,-1001296134866,CrypticTrading,['en']
32,-1001297239210,mega_pump_group,['en']
33,-1001307184953,TradeCoinUnderGround,"['en', 'vi', 'id']"
34,-1001313911314,CryptoHub_Bitcoin,"['en', 'ca']"
35,-1001314893652,binanceturkfree,['en']
36,-1001325133208,BinancePumpTracker,['en']
37,-1001334912205,awayswintrades,"['da', 'en', 'no']"
38,-1001336835428,premiumbinancesignalsturkey,"['tl', 'vi', 'af', 'sv', 'pt', 'ro', 'sq', 'tr', 'nl', 'en', 'pl', 'fr', 'fi', 'id', 'ca', 'de', 'so', 'da', 'no', 'cy']"
39,-1001339708842,Binance_Pumping_Original,['en']
40,-1001341948340,wiseadvicebysumit,"['de', 'en', 'vi', 'so', 'et']"
41,-1001342400398,bitcoinpumpgroup,"['en', 'et', 'da', 'fr', 'no', 'ro', 'nl']"
42,-1001347728413,wallstreetqueenofficial,['en']
43,-1001348881342,Crypto_Pump_Analytics,"['en', 'it']"
44,-1001349387323,tradecoinundergroundchannel,"['en', 'no', 'vi']"
45,-1001364159674,VIPExpertSignals,"['de', 'en', 'tl', 'vi', 'sv', 'et', 'da', 'fr', 'no', 'cy', 'ca', 'nl']"
46,-1001368686201,CRYPTO_FUTUR_VIP,"['de', 'en', 'so', 'pt', 'ca', 'ro']"
47,-1001369513842,cryptofameo,"['en', 'vi', 'da', 'fr', 'no', 'ca']"
48,-1001375911408,wall_street_bets_channel,['en']
49,-1001376762273,crypto_pump_wenlambo,['de']
50,-1001381789518,Hotbit_Pump_Crypto,['en']
51,-1001388333162,cryptosignalsvipr,"['de', 'en']"
52,-1001389202686,HotbitPumpEvents,['en']
53,-1001391574614,bitcoinkingdm,"['en', 'ca']"
54,-1001394568162,Whales_Pumping_Cryptocurrency,['en']
55,-1001395566862,binkbun,"['de', 'en', 'it', 'lv', 'vi', 'ca']"
56,-1001396342994,cryptoprofitcoach,"['en', 'no']"
57,-1001411301613,cryptopapasignals,['en']
58,-1001420299757,CryptoSignal,['en']
59,-1001432529525,Coin_Signals,"['hr', 'de', 'en', 'sv', 'da', 'fr', 'no', 'ro', 'nl']"
60,-1001434920650,White_Bullss,"['de', 'en', 'vi', 'da', 'no', 'ca', 'nl']"
61,-1001436907930,signals_slayer,"['en', 'da', 'no', 'ca', 'th']"
62,-1001449995639,crypto_wonderland_trading,"['da', 'en']"
63,-1001454067663,Binancepumpsignlas,"['it', 'en', 'pl']"
64,-1001456294395,Binanceexchange_1,"['de', 'en']"
65,-1001457982318,BigPump_Global,['en']
66,-1001466193622,moonbotcrypto,"['de', 'en', 'it', 'da', 'fa', 'id', 'ca']"
67,-1001469041126,Pumps,['en']
68,-1001474926216,CryptoPumpSignals_1,['en']
69,-1001483952808,best_pump_signals,['en']
70,-1001484061072,CryptoPumpisland_Official,"['de', 'en', 'pl', 'it', 'ca']"
71,-1001485801867,pancakeswap_pumping,"['de', 'en']"
72,-1001487251511,kryptocalls,"['de', 'en', 'fr', 'no', 'ca', 'nl']"
73,-1001495281876,Gtrading7,"['de', 'en', 'vi', 'fr', 'ca']"
74,-1001495406225,Rocket_Pump_Channel,['en']
75,-1001495472338,Binance_Hotbit_Pumps,['en']
76,-1001498984863,bitcoin_pump_chanel,"['en', 'da', 'fr', 'no', 'nl']"
77,-1001500414298,crypto_matrix_channel,"['de', 'en', 'vi', 'id', 'ca']"
78,-1001501522090,BrnTokenGlobal,['en']
79,-1001507349861,cryptocores,"['en', 'no', 'ca']"
80,-1001509948336,binancecryptopu,"['da', 'en', 'no', 'ca']"
81,-1001529195300,CoinpumpT,"['en', 'tr']"
82,-1001530110309,BestBinancePumps,['en']
83,-1001542982047,VIP_Trade2021,['en']
84,-1001544812354,MonoPayCoin,['en']
85,-1001545919293,crypto_signals_binance_pump,"['da', 'en', 'no']"
86,-1001546300553,FASTPUMP20200,['en']
87,-1001547366843,RICHFROMCRYPTOTRADE,"['en', 'no']"
88,-1001555625124,binancekillerscalls,"['en', 'vi', 'no', 'id', 'ca']"
89,-1001569830989,Crypto_Pumps_Exclusive_Binance,['en']
90,-1001581139587,Swizztrade,"['en', 'nl']"
