model_dataset,precision,f1,accuracy,recall,mcc
Weighted diffusion GraphSAGE,0.7377049180327869,0.7003891050583657,0.8610108303249098,0.6666666666666666,0.6115341783772328
Directed diffusion GraphSAGE,0.782608695652174,0.6343612334801763,0.8501805054151624,0.5333333333333333,0.5601937272802219
Directed diffusion GAT,0.6837606837606838,0.6349206349206349,0.8339350180505415,0.5925925925925926,0.5304178221180179
Weighted diffusion GAT,0.7821782178217822,0.6694915254237288,0.8592057761732852,0.5851851851851851,0.5922838105551446
SOTA Directed Diffusion,0.696969696969697,0.5897435897435898,0.8267148014440433,0.5111111111111111,0.4925172004511692
SOTA Weighted Diffusion,0.8105263157894737,0.6695652173913044,0.8628158844765343,0.5703703703703704,0.6006962032655753
Random Forest Weighted Diffusion without Topological Features,0.32967032967032966,0.4411764705882353,0.5884476534296029,0.6666666666666666,0.19742492301247946
Random Forest Weighted Diffusion,0.6974789915966386,0.6535433070866141,0.8411552346570397,0.6148148148148148,0.5528738340955989
Random Forest Directed Diffusion,0.7304347826086957,0.672,0.851985559566787,0.6222222222222222,0.5803108558448286
Fusion GAT Directed diffusion,0.7974683544303798,0.6774193548387096,0.883495145631068,0.5887850467289719,0.6187107930266923
Fusion GraphSAGE Directed diffusion,0.5189873417721519,0.6188679245283019,0.8038834951456311,0.7663551401869159,0.5103259855151618
Fusion GAT Weighted diffusion,0.8947368421052632,0.7431693989071039,0.9087378640776699,0.6355140186915887,0.7045267263728382
Fusion GraphSAGE Weighted diffusion,0.7083333333333334,0.6699507389162561,0.8699029126213592,0.6355140186915887,0.5905756123824015
