,id,created_at,updated_at,pump_score,chat_crowd_score,chat_crowd_score_updated_at,chat_time_score,chat_time_score_updated_at,signal_id,duration,entry_cross,price_increase,pump_type,stop_loss_cross,targets_achieved_rate,targets_cross,volume,basic_metrics,accuracy_score,accuracy_score_updated_at,chat_accuracy_score,chat_accuracy_score_updated_at,chat_impact_score,chat_impact_score_updated_at,impact_score,impact_score_updated_at,telegram_chat_id,commodity,source_posted_at,signal_position,message_text
3459,113486,2024-02-09 15:11:20.688908+00:00,2024-02-12 17:48:27.521230+00:00,0.1313382103839291,0.15681014594099674,2024-02-12 17:48:27.941607+00:00,,,573829,"{""start_date"": ""2024-02-04 23:10:18.783000"", ""end_date"": ""2024-02-04 23:18:42.400000"", ""start_timestamp"": 1707088218783, ""end_timestamp"": 1707088722400, ""duration_min"": 8.393616666666667}","{""entry_cross"": true, ""timestamp"": 1707088218783, ""date"": ""2024-02-04 23:10:18.783000"", ""price"": 16.01, ""amount"": 3.124}","{""from"": 16.01, ""to"": 16.19, ""price_increase"": 0.011242973141786365}",crowd,"{""stop_loss"": false, ""stop_loss_cross"": false, ""timestamp"": null, ""date"": null, ""price"": null, ""amount"": null}","{""targets_achieved"": 1, ""total_targets"": 1, ""rate"": 1.0}","[{""price_achieved"": true, ""timestamp"": 1707088722400, ""date"": ""2024-02-04 23:18:42.400000"", ""price"": 16.19, ""amount"": 2.299}]","{""volume_traded"": 442.867, ""volume_traded_base_commodity_value"": 7112.866779999999}","{""first_timestamp"": 1707088218783, ""last_timestamp"": 1707088722400, ""first_date"": ""2024-02-04 23:10:18.783000"", ""last_date"": ""2024-02-04 23:18:42.400000"", ""min_price"": 15.96, ""max_price"": 16.19, ""avg_price"": 16.09255319148936, ""median_price"": 16.09, ""std_price"": 0.06687002594606713, ""min_amount"": 0.31, ""max_amount"": 54.542, ""avg_amount"": 9.422702127659575, ""std_amount"": 13.03955902814484, ""median_amount"": 3.427, ""min_base_commodity_value"": 5.0096, ""max_base_commodity_value"": 873.76284, ""avg_base_commodity_value"": 151.33759106382976, ""std_base_commodity_value"": 209.07501673521122, ""median_base_commodity_value"": 54.90054}",0.3943760924055763,2024-02-18 00:39:59.824434+00:00,,,0.1711204781766161,2024-02-17 16:28:28.269922+00:00,4.8744407853584245e-05,2024-02-13 20:04:04.826669+00:00,1701.0,DCR,2024-02-04 23:10:16+00:00,long,"BINANCE
#USDT_DCR
LONG
🆔 #3414489
Ask: 16.01000000
Target: 16.18611000
TP: 1.1%
SL: -4.0%"
3460,113484,2024-02-09 15:11:16.087906+00:00,2024-02-12 17:48:26.298827+00:00,0.4433457563973095,0.19060133453725384,2024-02-12 17:48:26.607532+00:00,,,571582,"{""start_date"": ""2024-02-04 22:41:04.310000"", ""end_date"": ""2024-02-06 08:46:34.911000"", ""start_timestamp"": 1707086464310, ""end_timestamp"": 1707209194911, ""duration_min"": 2045.5100166666666}","{""entry_cross"": true, ""timestamp"": 1707086464310, ""date"": ""2024-02-04 22:41:04.310000"", ""price"": 107.24, ""amount"": 1.0}","{""from"": 107.24, ""to"": 116.43, ""price_increase"": 0.08569563595673267}",crowd,"{""stop_loss"": false, ""stop_loss_cross"": false, ""timestamp"": null, ""date"": null, ""price"": null, ""amount"": null}","{""targets_achieved"": 5, ""total_targets"": 8, ""rate"": 0.625}","[{""price_achieved"": true, ""timestamp"": 1707104805071, ""date"": ""2024-02-05 03:46:45.071000"", ""price"": 108.18, ""amount"": 3.99}, {""price_achieved"": true, ""timestamp"": 1707127464042, ""date"": ""2024-02-05 10:04:24.042000"", ""price"": 110.32, ""amount"": 4.3}, {""price_achieved"": true, ""timestamp"": 1707137470215, ""date"": ""2024-02-05 12:51:10.215000"", ""price"": 112.46, ""amount"": 0.05}, {""price_achieved"": true, ""timestamp"": 1707209057831, ""date"": ""2024-02-06 08:44:17.831000"", ""price"": 114.61, ""amount"": 0.08}, {""price_achieved"": true, ""timestamp"": 1707209194911, ""date"": ""2024-02-06 08:46:34.911000"", ""price"": 116.75, ""amount"": 4.96}]","{""volume_traded"": 144857.83, ""volume_traded_base_commodity_value"": 15974306.5024}","{""first_timestamp"": 1707086464310, ""last_timestamp"": 1707209194911, ""first_date"": ""2024-02-04 22:41:04.310000"", ""last_date"": ""2024-02-06 08:46:34.911000"", ""min_price"": 105.7, ""max_price"": 117.0, ""avg_price"": 110.33242940443009, ""median_price"": 110.48, ""std_price"": 2.2177108851587053, ""min_amount"": 0.01, ""max_amount"": 371.62, ""avg_amount"": 2.6561872891301155, ""std_amount"": 5.90396666678847, ""median_amount"": 0.83, ""min_base_commodity_value"": 1.0592000000000001, ""max_base_commodity_value"": 41532.2512, ""avg_base_commodity_value"": 292.91305747396217, ""std_base_commodity_value"": 651.59242682875, ""median_base_commodity_value"": 91.4248}",0.5395833399238616,2024-02-18 00:39:29.605980+00:00,0.2721129905337159,2024-02-19 03:21:05.922356+00:00,0.42478150760147826,2024-02-16 20:01:41.887140+00:00,1.0,2024-02-13 20:03:38.665826+00:00,75.0,TRB,2024-02-04 22:41:04+00:00,long,"💥 Futures (Free Signal)

🔥 MTC Indicator 🔥

🌟High accuracy🌟

✅ Long

#TRB/USDT

Entry zone : 105.278_107.427

Targets : 108.175_110.317_112.459_114.602_116.744_118.886_121.028_123.170

Stop loss :99.9071

Leverage: 5x_10x

🆔  @binance_360"
3461,113483,2024-02-09 15:11:14.853401+00:00,2024-02-12 17:48:25.716620+00:00,0.7897683028273456,0.18425820410428748,2024-02-12 17:48:26.032502+00:00,,,571581,"{""start_date"": ""2024-02-04 22:40:21.918000"", ""end_date"": ""2024-02-07 20:04:14.455000"", ""start_timestamp"": 1707086421918, ""end_timestamp"": 1707336254455, ""duration_min"": 4163.875616666667}","{""entry_cross"": true, ""timestamp"": 1707086421918, ""date"": ""2024-02-04 22:40:21.918000"", ""price"": 1.7275, ""amount"": 9.2}","{""from"": 1.7275, ""to"": 1.9102, ""price_increase"": 0.10575976845151945}",crowd,"{""stop_loss"": false, ""stop_loss_cross"": false, ""timestamp"": null, ""date"": null, ""price"": null, ""amount"": null}","{""targets_achieved"": 6, ""total_targets"": 8, ""rate"": 0.75}","[{""price_achieved"": true, ""timestamp"": 1707105354351, ""date"": ""2024-02-05 03:55:54.351000"", ""price"": 1.7387, ""amount"": 1569.7}, {""price_achieved"": true, ""timestamp"": 1707139387489, ""date"": ""2024-02-05 13:23:07.489000"", ""price"": 1.7731, ""amount"": 1315.7}, {""price_achieved"": true, ""timestamp"": 1707204882046, ""date"": ""2024-02-06 07:34:42.046000"", ""price"": 1.8075, ""amount"": 1465.6}, {""price_achieved"": true, ""timestamp"": 1707236500839, ""date"": ""2024-02-06 16:21:40.839000"", ""price"": 1.842, ""amount"": 1525.7}, {""price_achieved"": true, ""timestamp"": 1707325337512, ""date"": ""2024-02-07 17:02:17.512000"", ""price"": 1.8764, ""amount"": 12.1}, {""price_achieved"": true, ""timestamp"": 1707336254455, ""date"": ""2024-02-07 20:04:14.455000"", ""price"": 1.9108, ""amount"": 184.8}]","{""volume_traded"": 178639092.00000003, ""volume_traded_base_commodity_value"": 323518778.08825}","{""first_timestamp"": 1707086421918, ""last_timestamp"": 1707336254455, ""first_date"": ""2024-02-04 22:40:21.918000"", ""last_date"": ""2024-02-07 20:04:14.455000"", ""min_price"": 1.7, ""max_price"": 1.9108, ""avg_price"": 1.8085389284252453, ""median_price"": 1.8154, ""std_price"": 0.04886005237711587, ""min_amount"": 0.1, ""max_amount"": 118089.6, ""avg_amount"": 614.448036157135, ""std_amount"": 1286.6990701413542, ""median_amount"": 215.2, ""min_base_commodity_value"": 0.171, ""max_base_commodity_value"": 200752.32, ""avg_base_commodity_value"": 1112.7770278651055, ""std_base_commodity_value"": 2329.0509679533366, ""median_base_commodity_value"": 388.78400000000005}",0.8129113688946321,2024-02-18 00:39:29.604981+00:00,0.2556196192826139,2024-02-19 03:21:00.379354+00:00,0.34939220033488816,2024-02-16 20:01:36.172559+00:00,1.0,2024-02-13 20:03:38.661822+00:00,75.0,ARB,2024-02-04 22:40:21+00:00,long,"💥 Futures (Free Signal)

✅ Long

#ARB/USDT

Entry zone : 1.692068_1.726600

Targets : 1.738634_1.773062_1.807491_1.841919_1.876348_1.910776_1.945204_1.979633

Stop loss :1.605738

Leverage: 5x_10x

🆔  @binance_360"
3462,113478,2024-02-09 15:11:08.117208+00:00,2024-02-12 17:48:23.641524+00:00,0.33031265609462956,0.17251112978799102,2024-02-12 17:48:24.024786+00:00,,,571575,"{""start_date"": ""2024-02-04 22:30:43.894000"", ""end_date"": ""2024-02-05 14:18:29.505000"", ""start_timestamp"": 1707085843894, ""end_timestamp"": 1707142709505, ""duration_min"": 947.7601833333333}","{""entry_cross"": true, ""timestamp"": 1707085843894, ""date"": ""2024-02-04 22:30:43.894000"", ""price"": 0.05403, ""amount"": 147}","{""from"": 0.05403, ""to"": 0.054843, ""price_increase"": 0.01504719600222101}",crowd,"{""stop_loss"": false, ""stop_loss_cross"": false, ""timestamp"": null, ""date"": null, ""price"": null, ""amount"": null}","{""targets_achieved"": 1, ""total_targets"": 1, ""rate"": 1.0}","[{""price_achieved"": true, ""timestamp"": 1707142709505, ""date"": ""2024-02-05 14:18:29.505000"", ""price"": 0.054848, ""amount"": 408}]","{""volume_traded"": 7029960, ""volume_traded_base_commodity_value"": 376392.791664}","{""first_timestamp"": 1707085843894, ""last_timestamp"": 1707142709505, ""first_date"": ""2024-02-04 22:30:43.894000"", ""last_date"": ""2024-02-05 14:18:29.505000"", ""min_price"": 0.052029, ""max_price"": 0.054853, ""avg_price"": 0.05346203717728054, ""median_price"": 0.0535135, ""std_price"": 0.0006165722914594663, ""min_amount"": 1, ""max_amount"": 142154, ""avg_amount"": 1209.9759036144578, ""std_amount"": 3559.7067594431746, ""median_amount"": 361.0, ""min_base_commodity_value"": 0.052972, ""max_base_commodity_value"": 7648.453815999999, ""avg_base_commodity_value"": 64.78361302306368, ""std_base_commodity_value"": 191.0774563105031, ""median_base_commodity_value"": 19.3161625}",0.5154494952389068,2024-02-18 00:39:29.568212+00:00,0.35539419350781504,2024-02-19 03:15:03.780519+00:00,0.19820302027386305,2024-02-16 20:00:55.846502+00:00,0.001953705019094082,2024-02-13 20:03:38.661822+00:00,1701.0,REN,2024-02-04 22:30:41+00:00,long,"BINANCE
#USDT_REN
LONG
🆔 #3414525
Ask: 0.05400900
Target: 0.05484574
TP: 1.5%
SL: -4.0%"
3463,113477,2024-02-09 15:11:06.914241+00:00,2024-02-12 17:48:20.010362+00:00,0.23146822930755168,0.1315419593634964,2024-02-12 17:48:20.399541+00:00,,,571574,"{""start_date"": ""2024-02-04 22:30:34.447000"", ""end_date"": ""2024-02-06 05:17:14.065000"", ""start_timestamp"": 1707085834447, ""end_timestamp"": 1707196634065, ""duration_min"": 1846.6603}","{""entry_cross"": true, ""timestamp"": 1707085834447, ""date"": ""2024-02-04 22:30:34.447000"", ""price"": 0.02569, ""amount"": 7624.8}","{""from"": 0.02569, ""to"": 0.02604, ""price_increase"": 0.013623978201634862}",crowd,"{""stop_loss"": false, ""stop_loss_cross"": false, ""timestamp"": null, ""date"": null, ""price"": null, ""amount"": null}","{""targets_achieved"": 1, ""total_targets"": 1, ""rate"": 1.0}","[{""price_achieved"": true, ""timestamp"": 1707196634065, ""date"": ""2024-02-06 05:17:14.065000"", ""price"": 0.02605, ""amount"": 183173.8}]","{""volume_traded"": 280250951.2, ""volume_traded_base_commodity_value"": 7081453.371757}","{""first_timestamp"": 1707085834447, ""last_timestamp"": 1707196634065, ""first_date"": ""2024-02-04 22:30:34.447000"", ""last_date"": ""2024-02-06 05:17:14.065000"", ""min_price"": 0.02438, ""max_price"": 0.02605, ""avg_price"": 0.02529382126269586, ""median_price"": 0.02537, ""std_price"": 0.00035439741775182993, ""min_amount"": 0.1, ""max_amount"": 1438706.6, ""avg_amount"": 14303.626356351757, ""std_amount"": 43232.666479846055, ""median_amount"": 2899.0, ""min_base_commodity_value"": 0.0024570000000000004, ""max_base_commodity_value"": 36974.759620000004, ""avg_base_commodity_value"": 361.4277227457255, ""std_base_commodity_value"": 1094.12702913243, ""median_base_commodity_value"": 73.329892}",0.4095855242712578,2024-02-18 00:39:35.840841+00:00,0.34552196534616275,2024-02-19 07:27:11.878280+00:00,0.26415737529644384,2024-02-17 00:23:58.421847+00:00,1.0,2024-02-13 20:03:44.321529+00:00,1701.0,PEOPLE,2024-02-04 22:30:34+00:00,long,"BINANCE
#USDT_PEOPLE
LONG
🆔 #3414523
Ask: 0.02569000
Target: 0.02604336
TP: 1.4%
SL: -4.0%"
3464,113476,2024-02-09 15:11:05.750542+00:00,2024-02-12 17:48:22.997908+00:00,0.2825232106321271,0.1635090473537586,2024-02-12 17:48:23.495483+00:00,,,571573,"{""start_date"": ""2024-02-04 22:34:10.265000"", ""end_date"": ""2024-02-05 22:28:34.559000"", ""start_timestamp"": 1707086050265, ""end_timestamp"": 1707172114559, ""duration_min"": 1434.4049}","{""entry_cross"": true, ""timestamp"": 1707086050265, ""date"": ""2024-02-04 22:34:10.265000"", ""price"": 0.0002514, ""amount"": 18.65}","{""from"": 0.0002514, ""to"": 0.0002538, ""price_increase"": 0.009546539379474958}",crowd,"{""stop_loss"": false, ""stop_loss_cross"": false, ""timestamp"": null, ""date"": null, ""price"": null, ""amount"": null}","{""targets_achieved"": 1, ""total_targets"": 1, ""rate"": 1.0}","[{""price_achieved"": true, ""timestamp"": 1707172114559, ""date"": ""2024-02-05 22:28:34.559000"", ""price"": 0.0002546, ""amount"": 0.45}]","{""volume_traded"": 2387.24, ""volume_traded_base_commodity_value"": 0.5958538729999999}","{""first_timestamp"": 1707086050265, ""last_timestamp"": 1707172114559, ""first_date"": ""2024-02-04 22:34:10.265000"", ""last_date"": ""2024-02-05 22:28:34.559000"", ""min_price"": 0.0002446, ""max_price"": 0.0002549, ""avg_price"": 0.00025005482758620685, ""median_price"": 0.0002502, ""std_price"": 2.1392672818146397e-06, ""min_amount"": 0.01, ""max_amount"": 140.94, ""avg_amount"": 8.231862068965517, ""std_amount"": 14.194456371288437, ""median_amount"": 2.615, ""min_base_commodity_value"": 2.4780000000000002e-06, ""max_base_commodity_value"": 0.035559162, ""avg_base_commodity_value"": 0.0020546685275862064, ""std_base_commodity_value"": 0.0035505763337835374, ""median_base_commodity_value"": 0.000651123}",0.5229200688923302,2024-02-18 00:39:35.840841+00:00,0.3515837627407587,2024-02-19 07:27:10.065687+00:00,0.17381663041043252,2024-02-17 00:23:56.552812+00:00,0.011653640148037086,2024-02-13 20:03:44.321529+00:00,1701.0,XVS,2024-02-04 22:30:29+00:00,long,"BINANCE
#BTC_XVS
LONG
🆔 #3414522
Ask: 0.00025140
Target: 0.00025417
TP: 1.1%
SL: -4.0%"
3465,113475,2024-02-09 15:11:04.603349+00:00,2024-02-12 17:48:22.451234+00:00,0.2522316619113424,0.15735267355673702,2024-02-12 17:48:22.805978+00:00,,,571572,"{""start_date"": ""2024-02-04 22:34:46.406000"", ""end_date"": ""2024-02-05 05:48:13.182000"", ""start_timestamp"": 1707086086406, ""end_timestamp"": 1707112093182, ""duration_min"": 433.4462666666667}","{""entry_cross"": true, ""timestamp"": 1707086086406, ""date"": ""2024-02-04 22:34:46.406000"", ""price"": 0.4171, ""amount"": 904.7}","{""from"": 0.4171, ""to"": 0.4216, ""price_increase"": 0.010788779669143966}",crowd,"{""stop_loss"": false, ""stop_loss_cross"": false, ""timestamp"": null, ""date"": null, ""price"": null, ""amount"": null}","{""targets_achieved"": 1, ""total_targets"": 1, ""rate"": 1.0}","[{""price_achieved"": true, ""timestamp"": 1707112093182, ""date"": ""2024-02-05 05:48:13.182000"", ""price"": 0.4218, ""amount"": 460.9}]","{""volume_traded"": 307250.8, ""volume_traded_base_commodity_value"": 128251.63763999999}","{""first_timestamp"": 1707086086406, ""last_timestamp"": 1707112093182, ""first_date"": ""2024-02-04 22:34:46.406000"", ""last_date"": ""2024-02-05 05:48:13.182000"", ""min_price"": 0.4145, ""max_price"": 0.4219, ""avg_price"": 0.41766889117043127, ""median_price"": 0.4175, ""std_price"": 0.001478383955090184, ""min_amount"": 0.3, ""max_amount"": 9906.7, ""avg_amount"": 315.45256673511295, ""std_amount"": 661.5774364097358, ""median_amount"": 103.2, ""min_base_commodity_value"": 0.12594, ""max_base_commodity_value"": 4112.271170000001, ""avg_base_commodity_value"": 131.67519264887062, ""std_base_commodity_value"": 275.5212808014871, ""median_base_commodity_value"": 43.06532}",0.4604585897957481,2024-02-18 00:39:35.840314+00:00,0.34115106908323867,2024-02-19 07:27:04.151425+00:00,0.20199853564677342,2024-02-17 00:23:50.651053+00:00,0.000163671807523074,2024-02-13 20:03:44.319964+00:00,1701.0,CVP,2024-02-04 22:30:23+00:00,long,"BINANCE
#USDT_CVP
LONG
🆔 #3414499
Ask: 0.41710000
Target: 0.42168810
TP: 1.1%
SL: -4.0%"
3466,113474,2024-02-09 15:11:03.489555+00:00,2024-02-12 17:48:21.859455+00:00,0.21532188330529445,0.1525417869187154,2024-02-12 17:48:22.254848+00:00,,,571571,"{""start_date"": ""2024-02-04 22:28:04.484000"", ""end_date"": ""2024-02-05 03:20:36.514000"", ""start_timestamp"": 1707085684484, ""end_timestamp"": 1707103236514, ""duration_min"": 292.5338333333333}","{""entry_cross"": true, ""timestamp"": 1707085684484, ""date"": ""2024-02-04 22:28:04.484000"", ""price"": 0.4908, ""amount"": 549.127}","{""from"": 0.4908, ""to"": 0.4961, ""price_increase"": 0.01079869600651991}",crowd,"{""stop_loss"": false, ""stop_loss_cross"": false, ""timestamp"": null, ""date"": null, ""price"": null, ""amount"": null}","{""targets_achieved"": 1, ""total_targets"": 1, ""rate"": 1.0}","[{""price_achieved"": true, ""timestamp"": 1707103236514, ""date"": ""2024-02-05 03:20:36.514000"", ""price"": 0.4962, ""amount"": 11.389}]","{""volume_traded"": 8136325.177999999, ""volume_traded_base_commodity_value"": 3941665.1714015994}","{""first_timestamp"": 1707085684484, ""last_timestamp"": 1707103236514, ""first_date"": ""2024-02-04 22:28:04.484000"", ""last_date"": ""2024-02-05 03:20:36.514000"", ""min_price"": 0.4744, ""max_price"": 0.4963, ""avg_price"": 0.4849680063426236, ""median_price"": 0.485, ""std_price"": 0.00494703599845415, ""min_amount"": 0.001, ""max_amount"": 31856.886, ""avg_amount"": 496.2081586875648, ""std_amount"": 917.9503062534584, ""median_amount"": 244.046, ""min_base_commodity_value"": 0.0004761, ""max_base_commodity_value"": 15227.591508, ""avg_base_commodity_value"": 240.3894109533207, ""std_base_commodity_value"": 443.6750824582694, ""median_base_commodity_value"": 118.32}",0.40681857186662657,2024-02-18 00:39:35.840314+00:00,0.3348514175673676,2024-02-19 07:27:02.316557+00:00,0.2741746608523355,2024-02-17 00:23:48.792428+00:00,0.9999999999998324,2024-02-13 20:03:44.319964+00:00,1701.0,PYTH,2024-02-04 22:27:09+00:00,long,"OKEX
#USDT_PYTH
LONG
🆔 #3414464
Ask: 0.49080000
Target: 0.49619880
TP: 1.1%
SL: -4.0%"
3467,113473,2024-02-09 15:11:01.935654+00:00,2024-02-12 17:48:21.151881+00:00,0.3086147374421324,0.11608252611311079,2024-02-12 17:48:21.457722+00:00,,,571569,"{""start_date"": ""2024-02-04 22:26:47.328000"", ""end_date"": ""2024-02-07 20:32:29.271000"", ""start_timestamp"": 1707085607328, ""end_timestamp"": 1707337949271, ""duration_min"": 4205.69905}","{""entry_cross"": true, ""timestamp"": 1707085607328, ""date"": ""2024-02-04 22:26:47.328000"", ""price"": 0.655, ""amount"": 15.3}","{""from"": 0.655, ""to"": 0.694, ""price_increase"": 0.05954198473282431}",crowd,"{""stop_loss"": false, ""stop_loss_cross"": false, ""timestamp"": null, ""date"": null, ""price"": null, ""amount"": null}","{""targets_achieved"": 3, ""total_targets"": 3, ""rate"": 1.0}","[{""price_achieved"": true, ""timestamp"": 1707280708229, ""date"": ""2024-02-07 04:38:28.229000"", ""price"": 0.674, ""amount"": 76.5}, {""price_achieved"": true, ""timestamp"": 1707313695207, ""date"": ""2024-02-07 13:48:15.207000"", ""price"": 0.684, ""amount"": 32.2}, {""price_achieved"": true, ""timestamp"": 1707337949271, ""date"": ""2024-02-07 20:32:29.271000"", ""price"": 0.694, ""amount"": 114.9}]","{""volume_traded"": 3211912.4000000004, ""volume_traded_base_commodity_value"": 2136460.0966000003}","{""first_timestamp"": 1707085607328, ""last_timestamp"": 1707337949271, ""first_date"": ""2024-02-04 22:26:47.328000"", ""last_date"": ""2024-02-07 20:32:29.271000"", ""min_price"": 0.641, ""max_price"": 0.694, ""avg_price"": 0.6639418228829993, ""median_price"": 0.66, ""std_price"": 0.012435324343788209, ""min_amount"": 0.1, ""max_amount"": 28176.8, ""avg_amount"": 159.70923375267267, ""std_amount"": 538.0937987797257, ""median_amount"": 30.6, ""min_base_commodity_value"": 0.0644, ""max_base_commodity_value"": 18709.3952, ""avg_base_commodity_value"": 106.2334094077868, ""std_base_commodity_value"": 356.9851974900957, ""median_base_commodity_value"": 20.379600000000003}",0.7938077682883885,2024-02-18 00:39:35.839332+00:00,0.25144070179740186,2024-02-19 07:26:56.307236+00:00,0.22697495173138346,2024-02-17 00:23:42.727964+00:00,0.9999884012423511,2024-02-13 20:03:44.319964+00:00,1738.0,COMBO,2024-02-04 22:26:45+00:00,long,"✳ New FREE signal

💎 BUY #COMBO/USDT at #BINANCE

📈 Leverage: SPOT - 1x
🆔 #2490722
⏱ 04-Feb-2024 22:26:44 UTC

🛒 Entry Zone: 0.62400001 - 0.65868
💵 Current ask: 0.655
🎯 Target 1: 0.6738 (2.87%)
🎯 Target 2: 0.68340001 (4.34%)
🎯 Target 3: 0.69300001 (5.80%)
🚫 Stop loss: 0.61300001 (6.41%)
💰 Volume #COMBO: 1071475.600000
💰 Volume #USDT: 699125.585800

⏳ SHORT TERM (up to 7 days)
⚠️ Risk: 3/5 (Medium) - Invest up to 5% of your portfolio
☯️ R/R ratio: 0.7

Chart

COMBO/USDT can also be traded on:
BINANCE, BINANCE_FUTURES, BITGET, KUCOIN

The information here is not financial advice.
It comes without any guarantees.
Invest wisely and manage your risks."
3468,113471,2024-02-09 15:10:59.788726+00:00,2024-02-12 17:48:19.406816+00:00,0.23523198037138585,0.1523634417741155,2024-02-12 17:48:19.818107+00:00,,,571567,"{""start_date"": ""2024-02-05 07:53:43.753000"", ""end_date"": ""2024-02-05 14:03:07.096000"", ""start_timestamp"": 1707119623753, ""end_timestamp"": 1707141787096, ""duration_min"": 369.38905}","{""entry_cross"": true, ""timestamp"": 1707119623753, ""date"": ""2024-02-05 07:53:43.753000"", ""price"": 53.8, ""amount"": 4.79}","{""from"": 53.8, ""to"": 54.4, ""price_increase"": 0.01115241635687735}",crowd,"{""stop_loss"": false, ""stop_loss_cross"": false, ""timestamp"": null, ""date"": null, ""price"": null, ""amount"": null}","{""targets_achieved"": 1, ""total_targets"": 1, ""rate"": 1.0}","[{""price_achieved"": true, ""timestamp"": 1707141787096, ""date"": ""2024-02-05 14:03:07.096000"", ""price"": 54.4, ""amount"": 2.43}]","{""volume_traded"": 18919.160000000003, ""volume_traded_base_commodity_value"": 1017556.7244}","{""first_timestamp"": 1707119623753, ""last_timestamp"": 1707141787096, ""first_date"": ""2024-02-05 07:53:43.753000"", ""last_date"": ""2024-02-05 14:03:07.096000"", ""min_price"": 53.35, ""max_price"": 54.4, ""avg_price"": 53.791033962264144, ""median_price"": 53.75, ""std_price"": 0.23645939907720162, ""min_amount"": 0.01, ""max_amount"": 123.01, ""avg_amount"": 4.7595371069182395, ""std_amount"": 8.898303409089317, ""median_amount"": 1.96, ""min_base_commodity_value"": 0.542, ""max_base_commodity_value"": 6610.557400000001, ""avg_base_commodity_value"": 255.98911305660377, ""std_base_commodity_value"": 478.6582674808115, ""median_base_commodity_value"": 105.732}",0.43574612323794126,2024-02-18 00:39:35.836344+00:00,0.33579991649534374,2024-02-19 07:26:20.320618+00:00,0.2065527195973678,2024-02-17 00:13:10.501237+00:00,0.5437794145271562,2024-02-13 20:03:44.318164+00:00,1701.0,EGLD,2024-02-04 22:26:19+00:00,long,"BINANCE
#USDT_EGLD
LONG
🆔 #3414535
Ask: 53.80000000
Target: 54.39180000
TP: 1.1%
SL: -4.0%"
